freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,L0008,KM2,BE2	13427 	13427 	13427 	13427 	13427 	13428 	13428 	13428 	13429 	13429 	13429 	13429 
A,L0008,KM2,BE21	2804 	2804 	2804 	2804 	2804 	2804 	2804 	2804 	2804 	2804 	2804 	2804 
A,L0008,KM2,BE211	960 	960 	960 	960 	960 	960 	960 	960 	960 	960 	960 	960 
A,L0008,KM2,BE212	499 	499 	499 	499 	499 	499 	499 	499 	499 	499 	499 	499 
A,L0008,KM2,BE213	1345 	1345 	1345 	1345 	1345 	1345 	1345 	1345 	1345 	1345 	1345 	1345 
A,L0008,KM2,BE22	2391 	2391 	2391 	2391 	2391 	2390 	2390 	2390 	2391 	2391 	2391 	2391 
A,L0008,KM2,BE221	893 	893 	893 	893 	893 	893 	893 	893 	: z	: z	: z	: z
A,L0008,KM2,BE222	869 	869 	869 	869 	869 	869 	869 	869 	: z	: z	: z	: z
A,L0008,KM2,BE223	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 
A,L0008,KM2,BE224	: z	: z	: z	: z	: z	: z	: z	: z	868 	868 	868 	868 
A,L0008,KM2,BE225	: z	: z	: z	: z	: z	: z	: z	: z	895 	895 	895 	895 
A,L0008,KM2,BE23	2970 	2970 	2970 	2970 	2970 	2970 	2970 	2970 	2970 	2970 	2970 	2970 
A,L0008,KM2,BE231	473 	473 	473 	473 	473 	473 	473 	473 	473 	473 	473 	473 
A,L0008,KM2,BE232	339 	339 	339 	339 	339 	339 	339 	339 	339 	339 	339 	339 
A,L0008,KM2,BE233	334 	334 	334 	334 	334 	334 	334 	334 	334 	334 	334 	334 
A,L0008,KM2,BE234	940 	940 	940 	940 	940 	940 	940 	940 	940 	940 	940 	940 
A,L0008,KM2,BE235	423 	423 	423 	423 	423 	423 	423 	423 	423 	423 	423 	423 
A,L0008,KM2,BE236	461 	461 	461 	461 	461 	461 	461 	461 	461 	461 	461 	461 
A,L0008,KM2,BE24	2114 	2114 	2114 	2114 	2114 	2114 	2114 	2114 	2114 	2114 	2114 	2114 
A,L0008,KM2,BE241	947 	947 	947 	947 	947 	947 	947 	947 	947 	947 	947 	947 
A,L0008,KM2,BE242	1167 	1167 	1167 	1167 	1167 	1167 	1167 	1167 	1167 	1167 	1167 	1167 
A,L0008,KM2,BE25	3149 	3149 	3149 	3149 	3149 	3150 	3150 	3150 	3150 	3150 	3150 	3150 
A,L0008,KM2,BE251	652 	652 	652 	652 	652 	652 	652 	652 	652 	652 	652 	652 
A,L0008,KM2,BE252	364 	364 	364 	364 	364 	364 	364 	364 	364 	364 	364 	364 
A,L0008,KM2,BE253	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 	553 
A,L0008,KM2,BE254	406 	406 	406 	406 	406 	406 	406 	406 	406 	406 	406 	406 
A,L0008,KM2,BE255	292 	292 	292 	292 	292 	292 	292 	292 	292 	292 	292 	292 
A,L0008,KM2,BE256	274 	274 	274 	274 	274 	274 	274 	274 	274 	274 	274 	274 
A,L0008,KM2,BE257	332 	332 	332 	332 	332 	332 	332 	332 	332 	332 	332 	332 
A,L0008,KM2,BE258	277 	277 	277 	277 	277 	277 	277 	277 	277 	277 	277 	277 
A,L0008,KM2,BE3	16860 	16860 	16860 	16860 	16860 	16861 	16861 	16861 	16861 	16861 	16861 	16861 
A,L0008,KM2,BE31	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,L0008,KM2,BE310	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,L0008,KM2,BE32	3801 	3801 	3801 	3801 	3801 	3800 	3800 	3800 	3800 	3800 	3800 	3800 
A,L0008,KM2,BE321	490 	490 	490 	490 	490 	490 	490 	490 	: z	: z	: z	: z
A,L0008,KM2,BE322	559 	559 	559 	559 	559 	559 	559 	559 	: z	: z	: z	: z
A,L0008,KM2,BE323	584 	584 	584 	584 	584 	584 	584 	584 	584 	584 	584 	584 
A,L0008,KM2,BE324	102 	102 	102 	102 	102 	102 	102 	102 	: z	: z	: z	: z
A,L0008,KM2,BE325	518 	518 	518 	518 	518 	518 	518 	518 	: z	: z	: z	: z
A,L0008,KM2,BE326	935 	935 	935 	935 	935 	935 	935 	935 	: z	: z	: z	: z
A,L0008,KM2,BE327	612 	612 	612 	612 	612 	612 	612 	612 	: z	: z	: z	: z
A,L0008,KM2,BE328	: z	: z	: z	: z	: z	: z	: z	: z	714 	714 	714 	714 
A,L0008,KM2,BE329	: z	: z	: z	: z	: z	: z	: z	: z	219 	219 	219 	219 
A,L0008,KM2,BE32A	: z	: z	: z	: z	: z	: z	: z	: z	670 	670 	670 	670 
A,L0008,KM2,BE32B	: z	: z	: z	: z	: z	: z	: z	: z	476 	476 	476 	476 
A,L0008,KM2,BE32C	: z	: z	: z	: z	: z	: z	: z	: z	357 	357 	357 	357 
A,L0008,KM2,BE32D	: z	: z	: z	: z	: z	: z	: z	: z	780 	780 	780 	780 
A,L0008,KM2,BE33	3838 	3838 	3838 	3838 	3838 	3838 	3838 	3838 	3838 	3838 	3838 	3838 
A,L0008,KM2,BE331	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 
A,L0008,KM2,BE332	786 	786 	786 	786 	786 	786 	786 	786 	786 	786 	786 	786 
A,L0008,KM2,BE334	390 	390 	390 	390 	390 	390 	390 	390 	390 	390 	390 	390 
A,L0008,KM2,BE335	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 	1161 
A,L0008,KM2,BE336	844 	844 	844 	844 	844 	844 	844 	844 	844 	844 	844 	844 
A,L0008,KM2,BE34	4460 	4460 	4460 	4460 	4460 	4461 	4461 	4461 	4461 	4461 	4461 	4461 
