freq,landuse,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,L0008,KM2,AL	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL0	: 	: 	: 	: 	: 	: 	: 	: 	28106 e	28106 e	28106 e	28106 e
A,L0008,KM2,AL01	: 	: 	: 	: 	: 	: 	: 	: 	10509 e	10509 e	10509 e	10509 e
A,L0008,KM2,AL011	: 	: 	: 	: 	: 	: 	: 	: 	1638 e	1638 e	1638 e	1638 e
A,L0008,KM2,AL012	: 	: 	: 	: 	: 	: 	: 	: 	3315 e	3315 e	3315 e	3315 e
A,L0008,KM2,AL013	: 	: 	: 	: 	: 	: 	: 	: 	2455 e	2455 e	2455 e	2455 e
A,L0008,KM2,AL014	: 	: 	: 	: 	: 	: 	: 	: 	2339 e	2339 e	2339 e	2339 e
A,L0008,KM2,AL015	: 	: 	: 	: 	: 	: 	: 	: 	762 e	762 e	762 e	762 e
A,L0008,KM2,AL02	: 	: 	: 	: 	: 	: 	: 	: 	4934 e	4934 e	4934 e	4934 e
A,L0008,KM2,AL021	: 	: 	: 	: 	: 	: 	: 	: 	3293 e	3293 e	3293 e	3293 e
A,L0008,KM2,AL022	: 	: 	: 	: 	: 	: 	: 	: 	1641 e	1641 e	1641 e	1641 e
A,L0008,KM2,AL03	: 	: 	: 	: 	: 	: 	: 	: 	12663 e	12663 e	12663 e	12663 e
A,L0008,KM2,AL031	: 	: 	: 	: 	: 	: 	: 	: 	1809 e	1809 e	1809 e	1809 e
A,L0008,KM2,AL032	: 	: 	: 	: 	: 	: 	: 	: 	2863 e	2863 e	2863 e	2863 e
A,L0008,KM2,AL033	: 	: 	: 	: 	: 	: 	: 	: 	2629 e	2629 e	2629 e	2629 e
A,L0008,KM2,AL034	: 	: 	: 	: 	: 	: 	: 	: 	1787 e	1787 e	1787 e	1787 e
A,L0008,KM2,AL035	: 	: 	: 	: 	: 	: 	: 	: 	3575 e	3575 e	3575 e	3575 e
A,TOTAL,KM2,DE27B	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 	1394 
A,TOTAL,KM2,DE27C	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 	1230 
A,TOTAL,KM2,DE27D	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 	1275 
A,TOTAL,KM2,DE27E	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 	1528 
A,TOTAL,KM2,DE3	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE30	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE300	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 	891 
A,TOTAL,KM2,DE4	29654 	29654 	29654 	29654 	29654 	29656 	29656 	29656 	29656 	29656 	29656 	29656 
A,TOTAL,KM2,DE40	29654 	29654 	29654 	29654 	29654 	29656 	29656 	29656 	29656 	29656 	29656 	29656 
A,TOTAL,KM2,DE401	230 	230 	230 	230 	230 	230 	230 	230 	230 	230 	230 	230 
A,TOTAL,KM2,DE402	166 	166 	166 	166 	166 	166 	166 	166 	166 	166 	166 	166 
A,TOTAL,KM2,DE403	148 	148 	148 	148 	148 	148 	148 	148 	148 	148 	148 	148 
A,TOTAL,KM2,DE404	188 	188 	188 	188 	188 	188 	188 	188 	188 	188 	188 	188 
A,TOTAL,KM2,DE405	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 	1480 
A,TOTAL,KM2,DE406	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 	2274 
A,TOTAL,KM2,DE407	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 	1900 
A,TOTAL,KM2,DE408	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 	1727 
A,TOTAL,KM2,DE409	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 	2159 
A,TOTAL,KM2,DE40A	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 	1808 
A,TOTAL,KM2,DE40B	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 	1223 
A,TOTAL,KM2,DE40C	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 	2257 
A,TOTAL,KM2,DE40D	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 	2527 
A,TOTAL,KM2,DE40E	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 	2592 
A,TOTAL,KM2,DE40F	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 	2139 
A,TOTAL,KM2,DE40G	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 	1657 
A,TOTAL,KM2,DE40H	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 	2104 
A,TOTAL,KM2,DE40I	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 	3077 
A,TOTAL,KM2,DE5	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 
A,TOTAL,KM2,DE50	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 	420 
A,TOTAL,KM2,DE501	326 	326 	326 	326 	326 	326 	326 	326 	326 	326 	326 	326 
A,TOTAL,KM2,DE502	94 	94 	94 	94 	94 	94 	94 	94 	94 	94 	94 	94 
A,TOTAL,KM2,DE6	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE60	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE600	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 	755 
A,TOTAL,KM2,DE7	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 	21115 
A,TOTAL,KM2,DE71	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 	7445 
A,TOTAL,KM2,DE711	122 	122 	122 	122 	122 	122 	122 	122 	122 	122 	122 	122 
A,TOTAL,KM2,DE712	248 	248 	248 	248 	248 	248 	248 	248 	248 	248 	248 	248 
A,TOTAL,KM2,DE713	45 	45 	45 	45 	45 	45 	45 	45 	45 	45 	45 	45 
A,TOTAL,KM2,DE714	204 	204 	204 	204 	204 	204 	204 	204 	204 	204 	204 	204 
A,TOTAL,KM2,DE715	720 	720 	720 	720 	720 	720 	720 	720 	720 	720 	720 	720 
A,TOTAL,KM2,DE716	659 	659 	659 	659 	659 	659 	659 	659 	659 	659 	659 	659 
A,TOTAL,KM2,DE717	453 	453 	453 	453 	453 	453 	453 	453 	453 	453 	453 	453 
A,TOTAL,KM2,DE718	482 	482 	482 	482 	482 	482 	482 	482 	482 	482 	482 	482 
A,TOTAL,KM2,DE719	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 	1398 
A,TOTAL,KM2,DE71A	222 	222 	222 	222 	222 	222 	222 	222 	222 	222 	222 	222 
A,TOTAL,KM2,DE71B	624 	624 	624 	624 	624 	624 	624 	624 	624 	624 	624 	624 
A,TOTAL,KM2,DE71C	356 	356 	356 	356 	356 	356 	356 	356 	356 	356 	356 	356 
A,TOTAL,KM2,DE71D	811 	811 	811 	811 	811 	811 	811 	811 	811 	811 	811 	811 
A,TOTAL,KM2,DE71E	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 	1101 
A,TOTAL,KM2,DE72	5381 	5381 	5381 	5381 	5381 	5382 	5382 	5382 	5382 	5382 	5382 	5382 
A,TOTAL,KM2,DE721	855 	855 	855 	855 	855 	855 	855 	855 	855 	855 	855 	855 
A,TOTAL,KM2,DE722	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 	1067 
A,TOTAL,KM2,DE723	738 	738 	738 	738 	738 	738 	738 	738 	738 	738 	738 	738 
A,TOTAL,KM2,DE724	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 	1263 
A,TOTAL,KM2,DE725	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 	1459 
A,TOTAL,KM2,DE73	8289 	8289 	8289 	8289 	8289 	8288 	8288 	8288 	8288 	8288 	8288 	8288 
A,TOTAL,KM2,DE731	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 
A,TOTAL,KM2,DE732	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 	1380 
A,TOTAL,KM2,DE733	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 	1097 
A,TOTAL,KM2,DE734	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 	1293 
A,TOTAL,KM2,DE735	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 	1538 
A,TOTAL,KM2,DE736	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 	1848 
A,TOTAL,KM2,DE737	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 	1025 
A,TOTAL,KM2,DE8	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 
A,TOTAL,KM2,DE80	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 	23293 
A,TOTAL,KM2,DE803	181 	181 	181 	181 	181 	181 	181 	181 	181 	181 	181 	181 
A,TOTAL,KM2,DE804	131 	131 	131 	131 	131 	131 	131 	131 	131 	131 	131 	131 
A,TOTAL,KM2,DE80J	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 	5496 
A,TOTAL,KM2,DE80K	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 	3431 
A,TOTAL,KM2,DE80L	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 	3214 
A,TOTAL,KM2,DE80M	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 	2127 
A,TOTAL,KM2,DE80N	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 	3946 
A,TOTAL,KM2,DE80O	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 	4767 
A,TOTAL,KM2,DE9	47707 	47707 	47707 	47707 	47707 	47710 	47710 	47710 	47710 	47710 	47710 	47710 
A,TOTAL,KM2,DE91	8115 	8115 	8115 	8115 	8115 	8116 	8116 	8116 	8116 	8116 	8116 	8116 
A,TOTAL,KM2,DE911	193 	193 	193 	193 	193 	193 	193 	193 	193 	193 	193 	193 
A,TOTAL,KM2,DE912	224 	224 	224 	224 	224 	224 	224 	224 	224 	224 	224 	224 
A,TOTAL,KM2,DE913	205 	205 	205 	205 	205 	205 	205 	205 	205 	205 	205 	205 
A,TOTAL,KM2,DE914	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 	1568 
A,TOTAL,KM2,DE915	1117 	1117 	1117 	1117 	1117 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,DE916	967 	967 	967 	967 	967 	967 	967 	967 	967 	967 	967 	967 
A,TOTAL,KM2,DE917	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 
A,TOTAL,KM2,DE918	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 	1269 
A,TOTAL,KM2,DE919	636 	636 	636 	636 	636 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,DE91A	537 	537 	537 	537 	537 	537 	537 	537 	537 	537 	537 	537 
A,TOTAL,KM2,DE91B	724 	724 	724 	724 	724 	724 	724 	724 	724 	724 	724 	724 
A,TOTAL,KM2,DE91C	: z	: z	: z	: z	: z	1753 	1753 	1753 	1753 	1753 	1753 	1753 
A,TOTAL,KM2,DE92	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 	9065 
A,TOTAL,KM2,DE922	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 	1991 
A,TOTAL,KM2,DE923	798 	798 	798 	798 	798 	798 	798 	798 	798 	798 	798 	798 
A,TOTAL,KM2,DE925	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 	1208 
A,TOTAL,KM2,DE926	694 	694 	694 	694 	694 	694 	694 	694 	694 	694 	694 	694 
A,TOTAL,KM2,DE927	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 	1401 
A,TOTAL,KM2,DE928	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 	676 
A,TOTAL,KM2,DE929	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 	2297 
A,TOTAL,KM2,DE93	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 	15542 
A,TOTAL,KM2,DE931	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 	1551 
A,TOTAL,KM2,DE932	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 	2059 
A,TOTAL,KM2,DE933	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 
A,TOTAL,KM2,DE934	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 	1227 
A,TOTAL,KM2,DE935	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 	1328 
A,TOTAL,KM2,DE936	653 	653 	653 	653 	653 	653 	653 	653 	653 	653 	653 	653 
A,TOTAL,KM2,DE937	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 	2075 
A,TOTAL,KM2,DE938	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 	1881 
A,TOTAL,KM2,DE939	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 	1267 
A,TOTAL,KM2,DE93A	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 	1463 
A,TOTAL,KM2,DE93B	789 	789 	789 	789 	789 	789 	789 	789 	789 	789 	789 	789 
A,TOTAL,KM2,DE94	14986 	14986 	14986 	14986 	14986 	14987 	14987 	14987 	14987 	14987 	14987 	14987 
A,TOTAL,KM2,DE941	62 	62 	62 	62 	62 	62 	62 	62 	62 	62 	62 	62 
A,TOTAL,KM2,DE942	112 	112 	112 	112 	112 	112 	112 	112 	112 	112 	112 	112 
A,TOTAL,KM2,DE943	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 	103 
A,TOTAL,KM2,DE944	120 	120 	120 	120 	120 	120 	120 	120 	120 	120 	120 	120 
A,TOTAL,KM2,DE945	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 	107 
A,TOTAL,KM2,DE946	731 	731 	731 	731 	731 	731 	731 	731 	731 	731 	731 	731 
A,TOTAL,KM2,DE947	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 	1287 
A,TOTAL,KM2,DE948	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 	1420 
A,TOTAL,KM2,DE949	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 	2884 
A,TOTAL,KM2,DE94A	610 	610 	610 	610 	610 	610 	610 	610 	610 	610 	610 	610 
A,TOTAL,KM2,DE94B	982 	982 	982 	982 	982 	982 	982 	982 	982 	982 	982 	982 
A,TOTAL,KM2,DE94C	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 	1086 
A,TOTAL,KM2,DE94D	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 	1065 
A,TOTAL,KM2,DE94E	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 	2122 
A,TOTAL,KM2,DE94F	814 	814 	814 	814 	814 	814 	814 	814 	814 	814 	814 	814 
A,TOTAL,KM2,DE94G	825 	825 	825 	825 	825 	825 	825 	825 	825 	825 	825 	825 
A,TOTAL,KM2,DE94H	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 	657 
A,TOTAL,KM2,DEA	34113 	34113 	34113 	34113 	34113 	34110 	34110 	34110 	34110 	34110 	34110 	34110 
A,TOTAL,KM2,DEA1	5292 	5292 	5292 	5292 	5292 	5291 	5291 	5291 	5291 	5291 	5291 	5291 
A,TOTAL,KM2,DEA11	217 	217 	217 	217 	217 	217 	217 	217 	217 	217 	217 	217 
A,TOTAL,KM2,DEA12	233 	233 	233 	233 	233 	233 	233 	233 	233 	233 	233 	233 
A,TOTAL,KM2,DEA13	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 	210 
A,TOTAL,KM2,DEA14	138 	138 	138 	138 	138 	138 	138 	138 	138 	138 	138 	138 
A,TOTAL,KM2,DEA15	170 	170 	170 	170 	170 	170 	170 	170 	170 	170 	170 	170 
A,TOTAL,KM2,DEA16	91 	91 	91 	91 	91 	91 	91 	91 	91 	91 	91 	91 
A,TOTAL,KM2,DEA17	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
A,TOTAL,KM2,DEA18	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 	75 
A,TOTAL,KM2,DEA19	90 	90 	90 	90 	90 	90 	90 	90 	90 	90 	90 	90 
A,TOTAL,KM2,DEA1A	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 	168 
A,TOTAL,KM2,DEA1B	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 	1233 
A,TOTAL,KM2,DEA1C	407 	407 	407 	407 	407 	407 	407 	407 	407 	407 	407 	407 
A,TOTAL,KM2,DEA1D	576 	576 	576 	576 	576 	576 	576 	576 	576 	576 	576 	576 
A,TOTAL,KM2,DEA1E	563 	563 	563 	563 	563 	563 	563 	563 	563 	563 	563 	563 
A,TOTAL,KM2,DEA1F	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 	1043 
A,TOTAL,KM2,DEA2	7364 	7364 	7364 	7364 	7364 	7365 	7365 	7365 	7365 	7365 	7365 	7365 
A,TOTAL,KM2,DEA22	141 	141 	141 	141 	141 	141 	141 	141 	141 	141 	141 	141 
A,TOTAL,KM2,DEA23	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 	405 
A,TOTAL,KM2,DEA24	79 	79 	79 	79 	79 	79 	79 	79 	79 	79 	79 	79 
A,TOTAL,KM2,DEA26	942 	942 	942 	942 	942 	942 	942 	942 	942 	942 	942 	942 
A,TOTAL,KM2,DEA27	705 	705 	705 	705 	705 	705 	705 	705 	705 	705 	705 	705 
A,TOTAL,KM2,DEA28	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 	1249 
A,TOTAL,KM2,DEA29	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 	628 
A,TOTAL,KM2,DEA2A	919 	919 	919 	919 	919 	919 	919 	919 	919 	919 	919 	919 
A,TOTAL,KM2,DEA2B	437 	437 	437 	437 	437 	437 	437 	437 	437 	437 	437 	437 
A,TOTAL,KM2,DEA2C	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 	1153 
A,TOTAL,KM2,DEA2D	707 	707 	707 	707 	707 	707 	707 	707 	707 	707 	707 	707 
A,TOTAL,KM2,DEA3	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 	6918 
A,TOTAL,KM2,DEA31	101 	101 	101 	101 	101 	101 	101 	101 	101 	101 	101 	101 
A,TOTAL,KM2,DEA32	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 
A,TOTAL,KM2,DEA33	303 	303 	303 	303 	303 	303 	303 	303 	303 	303 	303 	303 
A,TOTAL,KM2,DEA34	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 	1421 
A,TOTAL,KM2,DEA35	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 	1112 
A,TOTAL,KM2,DEA36	761 	761 	761 	761 	761 	761 	761 	761 	761 	761 	761 	761 
A,TOTAL,KM2,DEA37	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 	1796 
A,TOTAL,KM2,DEA38	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 	1319 
A,TOTAL,KM2,DEA4	6525 	6525 	6525 	6525 	6525 	6524 	6524 	6524 	6524 	6524 	6524 	6524 
A,TOTAL,KM2,DEA41	259 	259 	259 	259 	259 	259 	259 	259 	259 	259 	259 	259 
A,TOTAL,KM2,DEA42	969 	969 	969 	969 	969 	969 	969 	969 	969 	969 	969 	969 
A,TOTAL,KM2,DEA43	450 	450 	450 	450 	450 	450 	450 	450 	450 	450 	450 	450 
A,TOTAL,KM2,DEA44	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 	1201 
A,TOTAL,KM2,DEA45	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 	1246 
A,TOTAL,KM2,DEA46	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 	1152 
A,TOTAL,KM2,DEA47	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 	1247 
A,TOTAL,KM2,DEA5	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 	8012 
A,TOTAL,KM2,DEA51	146 	146 	146 	146 	146 	146 	146 	146 	146 	146 	146 	146 
A,TOTAL,KM2,DEA52	281 	281 	281 	281 	281 	281 	281 	281 	281 	281 	281 	281 
A,TOTAL,KM2,DEA53	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 	160 
A,TOTAL,KM2,DEA54	226 	226 	226 	226 	226 	226 	226 	226 	226 	226 	226 	226 
A,TOTAL,KM2,DEA55	51 	51 	51 	51 	51 	51 	51 	51 	51 	51 	51 	51 
A,TOTAL,KM2,DEA56	410 	410 	410 	410 	410 	410 	410 	410 	410 	410 	410 	410 
A,TOTAL,KM2,DEA57	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 	1960 
A,TOTAL,KM2,DEA58	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 	1061 
A,TOTAL,KM2,DEA59	712 	712 	712 	712 	712 	712 	712 	712 	712 	712 	712 	712 
A,TOTAL,KM2,DEA5A	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 	1133 
A,TOTAL,KM2,DEA5B	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 	1329 
A,TOTAL,KM2,DEA5C	543 	543 	543 	543 	543 	543 	543 	543 	543 	543 	543 	543 
A,TOTAL,KM2,DEB	19852 	19852 	19852 	19852 	19852 	19853 	19853 	19853 	19853 	19853 	19853 	19853 
A,TOTAL,KM2,DEB1	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 	8075 
A,TOTAL,KM2,DEB11	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 
A,TOTAL,KM2,DEB12	787 	787 	787 	787 	787 	787 	787 	787 	787 	787 	787 	787 
A,TOTAL,KM2,DEB13	642 	642 	642 	642 	642 	642 	642 	642 	642 	642 	642 	642 
A,TOTAL,KM2,DEB14	864 	864 	864 	864 	864 	864 	864 	864 	864 	864 	864 	864 
A,TOTAL,KM2,DEB15	777 	777 	777 	777 	777 	777 	777 	777 	777 	777 	777 	777 
A,TOTAL,KM2,DEB16	692 	692 	692 	692 	692 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,DEB17	818 	818 	818 	818 	818 	818 	818 	818 	818 	818 	818 	818 
A,TOTAL,KM2,DEB18	627 	627 	627 	627 	627 	627 	627 	627 	627 	627 	627 	627 
A,TOTAL,KM2,DEB19	991 	991 	991 	991 	991 	: z	: z	: z	: z	: z	: z	: z
A,TOTAL,KM2,DEB1A	782 	782 	782 	782 	782 	782 	782 	782 	782 	782 	782 	782 
A,TOTAL,KM2,DEB1B	989 	989 	989 	989 	989 	989 	989 	989 	989 	989 	989 	989 
A,TOTAL,KM2,DEB1C	: z	: z	: z	: z	: z	720 e	720 e	720 e	720 	720 	720 	720 
A,TOTAL,KM2,DEB1D	: z	: z	: z	: z	: z	964 e	964 e	964 e	964 	964 	964 	964 
A,TOTAL,KM2,DEB2	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 	4926 
A,TOTAL,KM2,DEB21	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 
A,TOTAL,KM2,DEB22	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 	1168 
A,TOTAL,KM2,DEB23	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 	1627 
A,TOTAL,KM2,DEB24	912 	912 	912 	912 	912 	912 	912 	912 	912 	912 	912 	912 
A,TOTAL,KM2,DEB25	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 	1102 
A,TOTAL,KM2,DEB3	6851 	6851 	6851 	6851 	6851 	6852 	6852 	6852 	6852 	6852 	6852 	6852 
A,TOTAL,KM2,DEB31	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 	44 
A,TOTAL,KM2,DEB32	140 	140 	140 	140 	140 	140 	140 	140 	140 	140 	140 	140 
A,TOTAL,KM2,DEB33	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 	83 
A,TOTAL,KM2,DEB34	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 	77 
A,TOTAL,KM2,DEB35	98 	98 	98 	98 	98 	98 	98 	98 	98 	98 	98 	98 
A,TOTAL,KM2,DEB36	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 	117 
A,TOTAL,KM2,DEB37	61 	61 	61 	61 	61 	61 	61 	61 	61 	61 	61 	61 
A,TOTAL,KM2,DEB38	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 	43 
A,TOTAL,KM2,DEB39	109 	109 	109 	109 	109 	109 	109 	109 	109 	109 	109 	109 
A,TOTAL,KM2,DEB3A	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 	71 
A,TOTAL,KM2,DEB3B	588 	588 	588 	588 	588 	588 	588 	588 	588 	588 	588 	588 
A,TOTAL,KM2,DEB3C	595 	595 	595 	595 	595 	595 	595 	595 	595 	595 	595 	595 
A,TOTAL,KM2,DEB3D	645 	645 	645 	645 	645 	645 	645 	645 	645 	645 	645 	645 
A,TOTAL,KM2,DEB3E	463 	463 	463 	463 	463 	463 	463 	463 	463 	463 	463 	463 
A,TOTAL,KM2,DEB3F	640 	640 	640 	640 	640 	640 	640 	640 	640 	640 	640 	640 
A,TOTAL,KM2,DEB3G	574 	574 	574 	574 	574 	574 	574 	574 	574 	574 	574 	574 
