Lon	Lat	Year	Total
-5.75	39.75	2020	1.513
12.75	57.75	2020	16.614
5.25	44.25	2020	11.208
-6.25	39.75	2020	1.016
8.25	53.25	2020	0.882
2.75	49.75	2020	1.461
19.25	53.25	2020	3.327
4.25	48.25	2020	5.197
29.25	62.25	2020	11.708
2.75	41.75	2020	6.041
-5.75	42.75	2020	6.287
13.25	52.25	2020	6.933
27.25	65.75	2020	34.139
29.25	67.25	2020	14.915
0.75	45.75	2020	7.419
27.25	66.25	2020	36.09
0.25	44.25	2020	4.273
12.75	49.25	2020	8.644
1.75	45.75	2020	14.118
4.25	48.75	2020	1.221
7.75	47.75	2020	8.567
26.75	66.25	2020	33.194
16.25	49.75	2020	5.706
26.75	63.25	2020	16.148
9.25	46.25	2020	12.068
-7.25	43.25	2020	13.545
21.75	50.25	2020	6.989
22.75	52.75	2020	5.044
9.25	53.25	2020	3.086
31.25	63.25	2020	14.753
7.25	46.75	2020	5.662
24.75	63.75	2020	15.738
-0.75	45.75	2020	2.682
7.75	46.75	2020	9.002
12.75	58.25	2020	8.984
11.25	49.25	2020	11.701
28.75	64.25	2020	33.8
-0.75	47.25	2020	0.748
21.75	62.25	2020	16.517
2.75	42.25	2020	12.735
9.75	52.25	2020	3.823
13.25	53.25	2020	9.472
-5.25	37.25	2020	0.833
18.25	50.25	2020	4.905
4.25	46.25	2020	4.411
1.25	47.75	2020	3.898
25.25	67.75	2020	33.464
5.25	44.75	2020	14.431
14.75	63.25	2020	23.08
15.75	60.25	2020	13.952
3.75	46.75	2020	5.225
17.25	50.25	2020	10.101
0.25	45.25	2020	6.944
22.75	50.75	2020	7.027
20.25	49.75	2020	8.765
7.25	48.75	2020	10.844
12.75	48.75	2020	3.543
16.75	65.25	2020	16.934
-6.25	42.25	2020	9.998
1.25	44.75	2020	10.975
20.25	64.75	2020	23.189
5.75	48.25	2020	10.091
11.75	49.25	2020	8.367
-0.25	42.75	2020	13.065
-7.25	42.75	2020	9.887
-4.25	39.25	2020	3.266
4.75	49.75	2020	11.681
20.75	67.75	2020	19.411
-3.75	47.75	2020	0.994
15.75	58.75	2020	13.302
18.75	64.25	2020	29.105
0.75	46.75	2020	3.522
24.25	61.25	2020	11.928
-1.75	41.75	2020	3.95
6.75	43.75	2020	11.846
14.25	58.75	2020	12.732
29.25	66.25	2020	17.964
-2.75	39.25	2020	1.068
14.25	53.25	2020	2.826
18.75	65.75	2020	23.45
14.75	61.75	2020	25.57
9.25	50.25	2020	9.291
18.25	63.25	2020	17.85
19.25	66.75	2020	17.999
7.75	52.75	2020	2.774
6.25	49.25	2020	5.541
10.25	50.75	2020	9.767
28.25	63.75	2020	21.62
-8.75	42.25	2020	5.129
26.75	61.75	2020	12.859
4.25	51.25	2020	2.147
10.75	53.75	2020	3.495
-4.75	40.25	2020	3.58
24.75	65.75	2020	9.375
20.75	53.25	2020	9.563
25.25	62.75	2020	18.866
-0.75	42.25	2020	7.099
18.75	53.25	2020	2.323
-7.75	43.75	2020	4.496
13.75	63.25	2020	19.37
-3.25	40.75	2020	2.401
-0.25	41.25	2020	0.997
19.75	64.25	2020	26.832
11.25	50.25	2020	9.635
23.25	62.75	2020	12.703
6.25	48.75	2020	5.471
8.75	50.75	2020	8.269
25.25	66.75	2020	38.908
16.25	64.25	2020	24.028
5.25	46.25	2020	6.361
17.75	50.75	2020	9.357
25.25	60.75	2020	15.603
13.25	53.75	2020	2.673
-8.25	42.25	2020	8.274
22.25	49.75	2020	7.589
24.75	66.25	2020	35.295
-6.75	42.75	2020	11.47
-1.25	48.75	2020	0.578
3.25	45.25	2020	13.332
30.25	62.25	2020	15.084
13.75	50.25	2020	4.317
5.25	43.75	2020	5.15
-0.75	46.75	2020	0.992
4.75	50.25	2020	8.832
18.75	51.75	2020	3.373
14.75	59.25	2020	15.246
10.75	48.25	2020	5.153
16.75	51.75	2020	3.859
13.75	53.75	2020	4.155
27.75	62.25	2020	15.567
17.25	53.75	2020	10.322
24.75	62.25	2020	21.018
-5.25	43.25	2020	12.909
-4.25	42.25	2020	1.076
26.25	64.75	2020	15.595
-0.25	40.25	2020	7.597
-3.75	41.25	2020	5.436
-3.75	37.75	2020	2.026
1.25	48.25	2020	1.863
5.25	52.25	2020	4.271
22.25	53.25	2020	5.048
-7.25	39.25	2020	1.574
24.25	62.25	2020	17.324
9.75	50.25	2020	11.192
21.25	66.75	2020	18.824
16.25	52.75	2020	12.729
22.25	51.25	2020	3.426
5.75	47.75	2020	8.253
26.25	62.75	2020	12.744
20.75	51.75	2020	3.139
8.75	46.25	2020	12.711
19.25	67.25	2020	10.793
23.25	60.75	2020	9.753
16.25	63.25	2020	27.064
4.75	51.75	2020	1.613
16.25	53.25	2020	12.079
19.75	65.75	2020	25.044
13.25	56.75	2020	15.402
19.75	54.25	2020	4.103
12.25	52.75	2020	6.112
10.25	48.25	2020	4.857
19.25	50.25	2020	6.293
