NUTS_ID,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total,intersected_surface_area_km2,official_surface_area_2021
AT31,1903,3.293210848578213,1.8840494862708106,3.622537146231799,0.06268065132827721,8.862646518845558,2783.107327344392,11981.0
AT31,1904,3.260236086217105,1.8964151925566803,3.6222308411229833,0.06470362436591406,8.843593491834062,2783.107327344392,11981.0
AT31,1905,3.2084476334834426,1.9106219491775132,3.623087802550249,0.06620630801109498,8.809361561309123,2783.107327344392,11981.0
AT31,1906,3.1884034673785524,1.909243528836184,3.6255465902064636,0.06795135971979456,8.791144870947603,2783.107327344392,11981.0
AT31,1907,3.165339765945837,1.8939518491490086,3.628739551261776,0.06962490446333926,8.75802638339222,2783.107327344392,11981.0
AT31,1908,3.1681230338159736,1.8637842420386859,3.6308174347789617,0.07088762001466027,8.733426531327638,2783.107327344392,11981.0
AT31,1909,3.159897698483752,1.85406400315313,3.6331033657796863,0.07281356319420891,8.719924751039045,2783.107327344392,11981.0
AT31,1910,3.1630431254929148,1.845996067866376,3.6356734654399507,0.07416055830041256,8.718759211988145,2783.107327344392,11981.0
AT31,1911,3.145123723773084,1.8196229129429893,3.6336763525890454,0.0761363928972399,8.675235552495739,2783.107327344392,11981.0
AT31,1912,3.1346106857226705,1.841879925615128,3.633850978720341,0.07799907031967412,8.688856267500652,2783.107327344392,11981.0
AT31,1913,3.0985531951169096,1.8715707524312013,3.63588443609167,0.07920314071969585,8.685291066139989,2783.107327344392,11981.0
AT31,1914,3.0946495700347927,1.8638424395930266,3.6367324565797254,0.08073132807031627,8.675762247385837,2783.107327344392,11981.0
AT31,1915,3.0957317834923455,1.8539803904280132,3.6376119605484876,0.08266543726451345,8.670509087880946,2783.107327344392,11981.0
AT31,1916,3.0941232206312193,1.8570232760952088,3.6388283120824134,0.08419362461513387,8.67415102053979,2783.107327344392,11981.0
AT31,1917,3.036115097325251,1.8589674901976623,3.6384298195288443,0.08562023669524285,8.619212110334123,2783.107327344392,11981.0
AT31,1918,3.0123656874156297,1.8614686874214448,3.6392331347639804,0.08699261833833188,8.59958233719443,2783.107327344392,11981.0
AT31,1919,3.0036538584587382,1.8457083226116822,3.643365764665798,0.08865130055413632,8.581299779703233,2783.107327344392,11981.0
AT31,1920,3.0162884146453037,1.819853009668836,3.6456693308593713,0.08999844604712383,8.57128968507305,2783.107327344392,11981.0
AT31,1921,3.004331708044342,1.8035638852220606,3.6442498788342435,0.09106810784193581,8.54321350474919,2783.107327344392,11981.0
AT31,1922,3.012138266023261,1.795532576391939,3.6449816871042238,0.09192503274897003,8.54467451693309,2783.107327344392,11981.0
AT31,1923,3.000504876427956,1.7865417325764834,3.6448489732825733,0.09312895276220791,8.525390863403342,2783.107327344392,11981.0
AT31,1924,3.0108449518523064,1.769046941173976,3.64478983499576,0.09436209314368611,8.519010837444247,2783.107327344392,11981.0
AT31,1925,3.0148293701879703,1.7604421520820066,3.6441057667442163,0.0953328727754458,8.514680168677677,2783.107327344392,11981.0
AT31,1926,3.0188191486597704,1.755782545590316,3.644728477752481,0.09674697982116497,8.51569140789368,2783.107327344392,11981.0
AT31,1927,3.0318982437883806,1.728160348029952,3.6427458154432717,0.09835902878454623,8.501294081298118,2783.107327344392,11981.0
AT31,1928,3.024684399004272,1.7274507285714018,3.6408807053340957,0.09983674433610967,8.492713335984268,2783.107327344392,11981.0
AT31,1929,3.0016187104067327,1.7284789890553245,3.6393968689359393,0.10084924937049952,8.47082160851345,2783.107327344392,11981.0
AT31,1930,2.9563631763333054,1.7406709397394622,3.6381235546832276,0.10759876752557498,8.442924824718029,2783.107327344392,11981.0
AT31,1931,2.9100201817564644,1.7455160909375447,3.638461294341506,0.1142494787109901,8.409282093823538,2783.107327344392,11981.0
AT31,1932,2.862145209825491,1.7376028929378196,3.637960817802891,0.12077175938677126,8.358539743046395,2783.107327344392,11981.0
AT31,1933,2.8328235838413316,1.7398529279538673,3.639516567258424,0.1267200330572302,8.339219740983879,2783.107327344392,11981.0
AT31,1934,2.803823164073632,1.7149189579555344,3.639314684777475,0.13281064341632548,8.290570626142253,2783.107327344392,11981.0
AT31,1935,2.6834625176899025,1.7906859915572164,3.638633316768012,0.1381794006845338,8.250624529521284,2783.107327344392,11981.0
AT31,1936,2.630226848227478,1.8282967732622197,3.639174640825419,0.14346854097883682,8.241166803293954,2783.107327344392,11981.0
AT31,1937,2.5938281504569796,1.8106447673549868,3.640007956808287,0.14887518981832035,8.192947935488428,2783.107327344392,11981.0
AT31,1938,2.5441154117604308,1.8113937955181765,3.6405596539869096,0.15363238412403987,8.15014121975663,2783.107327344392,11981.0
AT31,1939,2.4919229253052535,1.8331855213253345,3.642012058194979,0.15858482723996242,8.125705332065529,2783.107327344392,11981.0
AT31,1940,2.474413416655503,1.8264825632341708,3.6456019320958895,0.16276059881043248,8.109275848486785,2783.107327344392,11981.0
AT31,1941,2.426497248739858,1.841916036508422,3.647967261624965,0.16689400859059603,8.083358567463387,2783.107327344392,11981.0
AT31,1942,2.4058867732347773,1.8108935120442253,3.649699001836174,0.17057948438172085,8.03752390682068,2783.107327344392,11981.0
AT31,1943,2.3862120812587553,1.7981252502183196,3.6494760161303565,0.17451741977150567,8.008892570123438,2783.107327344392,11981.0
AT31,1944,2.343259046953578,1.8139981627718944,3.651582420284614,0.1790889521149233,7.987633685542651,2783.107327344392,11981.0
AT31,1945,2.2968515792994664,1.8167932010525183,3.6525183812826296,0.18318897208138293,7.94868079607902,2783.107327344392,11981.0
AT31,1946,2.229589085662364,1.8292375704605386,3.6531705797133256,0.18687849375444865,7.899143408496543,2783.107327344392,11981.0
AT31,1947,2.1672273559183752,1.8266827835942443,3.6529140974618715,0.19027788102344412,7.837030761419563,2783.107327344392,11981.0
AT31,1948,2.122891371838982,1.8404262384821939,3.6557280796956753,0.19334668724537252,7.812016086594387,2783.107327344392,11981.0
AT31,1949,2.1049861818931825,1.825027033162655,3.658247007825715,0.19544541138587362,7.7835625591744595,2783.107327344392,11981.0
AT31,1950,2.0962379168590406,1.794579696597289,3.65831601354421,0.1929417969744173,7.741686553079341,2783.107327344392,11981.0
AT31,1951,2.101671598666885,1.7647420367207216,3.6588250616885487,0.1897351570304591,7.714973854106614,2783.107327344392,11981.0
AT31,1952,2.102587522644835,1.750202449633826,3.6605946934710336,0.1876924333039289,7.70116118624656,2783.107327344392,11981.0
AT31,1953,2.126116503197965,1.713480401914445,3.6625936946459876,0.1851387982537671,7.68731190993459,2783.107327344392,11981.0
AT31,1954,2.1045677663543203,1.7332926986533874,3.6645905639077667,0.18338231343615014,7.685581019109013,2783.107327344392,11981.0
AT31,1955,2.1137539712390208,1.7205751961102966,3.6678917989301048,0.18111859192516178,7.683770790890509,2783.107327344392,11981.0
AT31,1956,2.12934040472825,1.7056550186800212,3.6702335505724073,0.1793883415815464,7.685377497855148,2783.107327344392,11981.0
AT31,1957,2.1419117514370867,1.6841584820568933,3.6702054709280625,0.17858137615056158,7.674903638631637,2783.107327344392,11981.0
AT31,1958,2.132251486380246,1.6739365741235743,3.6690468212251415,0.1768509754201624,7.651790885373376,2783.107327344392,11981.0
AT31,1959,2.15239207893509,1.6542483197510305,3.6687915041015025,0.17548826934795614,7.650920247328972,2783.107327344392,11981.0
AT31,1960,2.170749345774048,1.6415019453881547,3.66899940833288,0.17430025578612623,7.655592605490447,2783.107327344392,11981.0
AT31,1961,2.1974956478781538,1.609669842029602,3.667162818860775,0.1732684611586706,7.647550649498934,2783.107327344392,11981.0
AT31,1962,2.1989961878471593,1.603678065058669,3.6665138733785096,0.17180687292341204,7.641148673002108,2783.107327344392,11981.0
AT31,1963,2.2108915107876017,1.5771063136498908,3.6642169812390244,0.17034520949476153,7.622476003171734,2783.107327344392,11981.0
AT31,1964,2.228674288354929,1.5576231997133607,3.662591351543125,0.169631298016891,7.61781525979084,2783.107327344392,11981.0
AT31,1965,2.224937185211009,1.558985727021181,3.6621087352763904,0.169815886963047,7.615704308991878,2783.107327344392,11981.0
AT31,1966,2.23291601389998,1.551144425858688,3.6610594089165076,0.16946155132030793,7.614331133973803,2783.107327344392,11981.0
AT31,1967,2.211175299188825,1.5609940980941586,3.658732523665058,0.16874593842540325,7.5998797791223565,2783.107327344392,11981.0
AT31,1968,2.2146586379742663,1.5527877405313604,3.6573260214397028,0.16933666076457593,7.593715644401864,2783.107327344392,11981.0
AT31,1969,2.1985423296562305,1.55140097447407,3.6558607433649044,0.16866509754742207,7.574858015938244,2783.107327344392,11981.0
AT31,1970,2.1796356995748867,1.554782871421589,3.6562892829433697,0.1714071971117505,7.562022929043302,2783.107327344392,11981.0
AT31,1971,2.1715388695392384,1.5392780423066246,3.65378184183518,0.17443132578667767,7.5395078702126765,2783.107327344392,11981.0
AT31,1972,2.1706678547950453,1.5404977137251046,3.652905296937396,0.1769305553706104,7.540736366970979,2783.107327344392,11981.0
AT31,1973,2.148196557306335,1.5321019626820738,3.651397931022598,0.17921250215319595,7.510794948052694,2783.107327344392,11981.0
AT31,1974,2.148635310868956,1.5270263941511413,3.6510119074843352,0.1818629168388449,7.508536454149886,2783.107327344392,11981.0
AT31,1975,2.1335910497998998,1.516235144166704,3.6501655060853,0.1840267191897197,7.484097961022136,2783.107327344392,11981.0
AT31,1976,2.1148533907838676,1.510067823435518,3.6491633741721254,0.18662831270387267,7.4606036529457365,2783.107327344392,11981.0
AT31,1977,2.093610218008588,1.5081202103177327,3.6481736720999485,0.1899791350079562,7.440511999731456,2783.107327344392,11981.0
AT31,1978,2.079913009222846,1.5094470522125043,3.6492343666334377,0.1937485345767901,7.432056176071969,2783.107327344392,11981.0
AT31,1979,2.068429228427695,1.501269157096649,3.6496780291603597,0.1959260663672767,7.415859888770841,2783.107327344392,11981.0
AT31,1980,2.0452473488130853,1.5052304914810428,3.6505968573835474,0.19850406448685243,7.3995409457866455,2783.107327344392,11981.0
AT31,1981,2.0304666716358963,1.4962787408396656,3.649316653754652,0.20120672808313042,7.377205185807499,2783.107327344392,11981.0
AT31,1982,2.01400506486509,1.4792459954956305,3.6468345239899564,0.20372664318831646,7.3431197795425245,2783.107327344392,11981.0
AT31,1983,2.0100913160770806,1.458286353596643,3.6422983753376785,0.20619738703568297,7.3164921583360645,2783.107327344392,11981.0
AT31,1984,1.9976741083107985,1.4609711040386035,3.64206594326576,0.20793225085049227,7.3090368227736935,2783.107327344392,11981.0
AT31,1985,1.9925289587077084,1.454926639542701,3.642170133178829,0.21042284026878388,7.299863134814749,2783.107327344392,11981.0
AT31,1986,1.9818291501973324,1.4410544699824295,3.6397722269631174,0.21339460360418044,7.276050525940451,2783.107327344392,11981.0
AT31,1987,1.9646506731161848,1.4381303961741718,3.6393669382357077,0.21557604441941386,7.257622551868358,2783.107327344392,11981.0
AT31,1988,1.951969466787502,1.4295123625769421,3.6374660056260844,0.2182654162068419,7.237208418540969,2783.107327344392,11981.0
AT31,1989,1.9479777099719244,1.4229139930959687,3.636065549555076,0.22094967186654624,7.228367302350288,2783.107327344392,11981.0
AT31,1990,1.989508848953392,1.4015623771260561,3.634063267255118,0.21631098684924963,7.241729724036747,2783.107327344392,11981.0
AT31,1991,2.016669049093604,1.3872897094336887,3.633481694133084,0.21183158742140373,7.249356052081325,2783.107327344392,11981.0
AT31,1992,2.031696645449018,1.3595974237999795,3.629501294936339,0.20804931870112048,7.228701532600101,2783.107327344392,11981.0
AT31,1993,2.051595320453062,1.3456240934037582,3.628029256706784,0.2049899920635233,7.230146540618833,2783.107327344392,11981.0
AT31,1994,2.053470213834051,1.3191652376068328,3.6239752938251018,0.2030881326987868,7.198579742694805,2783.107327344392,11981.0
AT31,1995,2.067705904417861,1.3041251913432312,3.621581933021813,0.19916525219868833,7.191957339950282,2783.107327344392,11981.0
AT31,1996,2.0779488419570638,1.3046320502114135,3.6218002032397836,0.19666104384537217,7.201083939849655,2783.107327344392,11981.0
AT31,1997,2.1041167141817048,1.287103529404361,3.6210333436212623,0.19465934906181315,7.20729413478677,2783.107327344392,11981.0
AT31,1998,2.1334977943424462,1.2697390791809187,3.617202223193235,0.19317780209823707,7.213718323698564,2783.107327344392,11981.0
AT31,1999,2.1647854499180674,1.2453599964025868,3.613022112101877,0.19109420804081417,7.21450634163343,2783.107327344392,11981.0
AT31,2000,2.1951841736132374,1.2239823841258146,3.606930845666466,0.18991169276566525,7.215979950996335,2783.107327344392,11981.0
AT31,2001,2.2220212894108777,1.211873902031495,3.602550427528328,0.1882668768466667,7.224973004262122,2783.107327344392,11981.0
AT31,2002,2.2557061679214665,1.199829395776451,3.5978924504986236,0.18648461030721922,7.239422253531023,2783.107327344392,11981.0
AT31,2003,2.2812708111813205,1.1788356503348032,3.5903684553506436,0.18435732800712307,7.234730819990164,2783.107327344392,11981.0
AT31,2004,2.3146349216314435,1.173353476447056,3.586596698789605,0.18293492404563888,7.258010316693089,2783.107327344392,11981.0
AT31,2005,2.3390647908444295,1.166195541596713,3.5840771145832497,0.181842395945122,7.270823955795378,2783.107327344392,11981.0
AT31,2006,2.3627165384331454,1.150639572344471,3.5788252849772966,0.18088830482395166,7.273352092126834,2783.107327344392,11981.0
AT31,2007,2.3899810805141066,1.1437718059486957,3.573144998120893,0.1807664224184888,7.287335644639163,2783.107327344392,11981.0
AT31,2008,2.4211195709575724,1.1326363999072881,3.568714408957266,0.1790956587683204,7.301900679049044,2783.107327344392,11981.0
AT31,2009,2.4472642641898976,1.1215480391640151,3.5637198099425733,0.17908761042337207,7.312161122970659,2783.107327344392,11981.0
AT31,2010,2.4712070091805662,1.121877115753882,3.5612717327013717,0.17825829982400082,7.332593829159512,2783.107327344392,11981.0
AT31,2011,2.5028682348193376,1.108981617204029,3.556264552957751,0.17740676449385068,7.345395356879401,2783.107327344392,11981.0
AT31,2012,2.522699713962336,1.1016330583105853,3.551185941943513,0.17788867631413888,7.353315268522279,2783.107327344392,11981.0
AT31,2013,2.5245078172494098,1.098145130315619,3.5476757358059814,0.17850722501156052,7.348608746096668,2783.107327344392,11981.0
AT31,2014,2.5243579191019156,1.1026951399883096,3.543663723907105,0.17825289957834667,7.349214257745762,2783.107327344392,11981.0
AT31,2015,2.5161515031074337,1.090060321938658,3.539547420078507,0.17950316465740634,7.325089553126514,2783.107327344392,11981.0
AT31,2016,2.54325902807991,1.0847592699355764,3.5367752258867062,0.17805143722035535,7.34285754135033,2783.107327344392,11981.0
AT31,2017,2.5623914901999503,1.077749051212307,3.533134374497206,0.17812729084101886,7.351174682027211,2783.107327344392,11981.0
AT31,2018,2.5531776540415825,1.069495222450158,3.5261914472828733,0.18260745903319064,7.331484287842195,2783.107327344392,11981.0
AT31,2019,2.56264608349184,1.0647292793910899,3.5207887193180367,0.18374610897525492,7.332497516813656,2783.107327344392,11981.0
AT31,2020,2.580753746269253,1.0660503018281113,3.517370710382192,0.1851324911782321,7.3491137027657665,2783.107327344392,11981.0
AT31,2021,2.6018605119386655,1.0650428174193942,3.5159181629219596,0.18513832820248105,7.36736467157915,2783.107327344392,11981.0
