Country,Year,weighted_sum_VegC,weighted_sum_LitterC,weighted_sum_SoilC,weighted_sum_HarvSlowC,weighted_sum_Total
NO,1948,7.791513532865887,12.475582003009325,23.358790006705444,0.2181298785605679,43.84530268475373
NO,1949,7.843456637838882,12.419655548056364,23.361545428843307,0.2161329346399026,43.842445171733516
NO,1950,7.959938853015946,12.344306094646573,23.35526619069529,0.2197374265857513,43.88058010054318
NO,1951,7.9780594019889275,12.30933769234976,23.356629915746733,0.22413792569555618,43.864948742387604
NO,1952,8.070979992888974,12.320868413518756,23.358527151368513,0.22666989576465144,43.97801457444233
NO,1953,8.162611487307263,12.155482202490639,23.358300191615157,0.2335219737744375,43.907160638369575
NO,1954,8.304085926538352,12.129730090718526,23.35696935455671,0.23446024321215894,44.023924256940866
NO,1955,8.245571423830505,12.233664236057788,23.368200326535945,0.23869138110610896,44.085173877416956
NO,1956,8.170615401109043,12.322721785887765,23.382791996037184,0.2400173786962598,44.11627662363185
NO,1957,8.104449983817052,12.306975350744189,23.38956855034246,0.24508601596948762,44.046008858200274
NO,1958,8.074806087631744,12.3074611581671,23.401146156686558,0.25078682284851794,44.03391089804958
NO,1959,8.081464012106668,12.384129989889619,23.41391404488624,0.2561688235257328,44.13634863959964
NO,1960,8.166645755417825,12.217052723502075,23.41850692287592,0.25785707705879823,44.06031047552305
NO,1961,8.317934379293343,12.073971113700615,23.4090742332288,0.26091047617859287,44.06298335155397
NO,1962,8.431466420786958,12.066072416695654,23.40534262654519,0.2648316898109658,44.166450062476855
NO,1963,8.550701360318325,11.99718304115252,23.404736967825833,0.2671992114002469,44.22383550506711
NO,1964,8.721874997893163,11.97642067624175,23.401239444748306,0.267567797126244,44.36844620703667
NO,1965,8.795606081221207,11.969433799350377,23.395665128605323,0.2729875770553603,44.431207766357396
NO,1966,8.810735556478708,12.020839703624048,23.4037670890017,0.27696403952206194,44.51139534361978
NO,1967,8.780964297862852,12.057696297648445,23.41588104760139,0.2786359071631514,44.534189859262845
NO,1968,8.820024955673198,12.147682987749691,23.42684042416024,0.2832643639698514,44.68014594907188
NO,1969,8.7845576286671,12.157620143516748,23.44691709105734,0.28508486869109056,44.67378240009662
