Country,Year,weighted_avg_VegC,weighted_avg_LitterC,weighted_avg_SoilC,weighted_avg_HarvSlowC,weighted_avg_Total
NO,1993,0.39670391292981844,0.44403886433852413,0.8949505562971877,0.014044250465054189,1.7497611912992634
NO,1994,0.40082137174288823,0.44651603527457756,0.8953147141109815,0.013944580630332992,1.7567295563561462
NO,1995,0.4049442561409367,0.4462154761915887,0.8955451431236555,0.013705940120986087,1.7604104149514794
NO,1996,0.4094718178928909,0.448572980207869,0.8960862715719685,0.013693653312319944,1.767850866934467
NO,1997,0.4127008115130138,0.4482708862847976,0.8965764736363011,0.013669511218067348,1.771373027742167
NO,1998,0.4161272885542719,0.44594455531380633,0.8964340853906195,0.013914031110174915,1.7725802059534939
NO,1999,0.42391236774672975,0.444105173882996,0.8963364673584628,0.013851877459288165,1.778298549093204
NO,2000,0.43103265299676685,0.43932939308386587,0.8956287319145674,0.01401757839627241,1.780331381023473
NO,2001,0.43726440659349214,0.4361190024875804,0.8948716986016839,0.014090358099762217,1.7825193539568784
NO,2002,0.44970673572843284,0.4357321837313753,0.894454493087981,0.014010313886332879,1.7940511523945464
NO,2003,0.4584426478109629,0.4361456488643968,0.89423156327372,0.013922769459549079,1.8028308293891138
NO,2004,0.46859709338576877,0.4350593461025989,0.8939871345158199,0.013886293729490747,1.8116246449906144
NO,2005,0.47502581698053853,0.43500805246592417,0.8937871948444254,0.013911404322206696,1.8179203769994345
NO,2006,0.4826976123315399,0.43405509661906844,0.8938820840887344,0.013912211300483838,1.8246619207051857
NO,2007,0.4903325114726918,0.4333173747832838,0.8931596764727738,0.01395283838412547,1.8308407262532946
NO,2008,0.497993779911816,0.43352064547518543,0.8929646487644891,0.013966847145306367,1.8385221873435216
NO,2009,0.5071981165441195,0.4320936682364217,0.8925632692432163,0.014040842169562797,1.84603752014094
NO,2010,0.5145210660234105,0.4331279292128476,0.8922759548423376,0.014126372682119361,1.85416977972445
NO,2011,0.519843377991759,0.43271060626470953,0.8919934993951584,0.014665666798133857,1.8592916283707253
NO,2012,0.524803255052328,0.43579977507972295,0.891653322763679,0.015232014274011012,1.8675712452568565
NO,2013,0.530001341953209,0.43869853590607966,0.8918616217302777,0.015769575508391007,1.8765980106167297
NO,2014,0.535575512906679,0.4395987840676457,0.8921271100824497,0.016057410054569742,1.883576451008575
NO,2015,0.5423069500529976,0.4410077733344731,0.892236586077536,0.01630584582611839,1.8920962284416172
NO,2016,0.5458930403278868,0.44290685524442247,0.8921557573976544,0.017365599859960834,1.8984938825473678
NO,2017,0.5476131952109629,0.4452231405669459,0.8920603144732357,0.018173039147663318,1.9032942383534168
NO,2018,0.5473784369331705,0.45104615236498835,0.8923638446000094,0.01925331031276722,1.9101379964952596
NO,2019,0.5456087713274568,0.4561095212497258,0.8926457081844742,0.020358476191183937,1.914852131357217
NO,2020,0.5471050166240821,0.4565579846447839,0.893049852499311,0.02072740466486403,1.9176042820584471
NO,2021,0.5513029303637708,0.45909182851976227,0.8934376580247466,0.02083218487211841,1.9248057081796448
NO,2022,0.5540058765423549,0.46218417034171455,0.8939994672610424,0.021592024878399868,1.9317231902025689
PL,1901,2.409136365764111,1.5923445104246408,2.18611512101229,0.013950889947636283,6.201574516948906
PL,1902,2.3976772291705797,1.6061245273481117,2.1874855729256306,0.014593507250675035,6.205871880507314
PL,1903,2.4017193668274257,1.5984975690875276,2.1882810539079145,0.015270268098343623,6.203824007587879
PL,1904,2.3944742221199773,1.610161811143777,2.189981677276536,0.015915603807117273,6.21051785088234
PL,1905,2.3883734955472575,1.6027498743236512,2.1901319989056667,0.016567321213319983,6.197785472367033
PL,1906,2.3916909445407146,1.5938820324982077,2.1897297209683693,0.017167824907995854,6.192437665262874
PL,1907,2.3952099192396483,1.5889262045742427,2.1899875011309717,0.017750170806419285,6.191923081076038
PL,1908,2.394605834500721,1.5891337236539753,2.190038261433233,0.018258955956859967,6.192041869299036
PL,1909,2.3886789404045277,1.5953444766244265,2.190905213946802,0.01884842521263405,6.193784130410243
PL,1910,2.384811528298987,1.5921813209153068,2.190428491930495,0.019752145161155785,6.187172173400614
PL,1911,2.3815520602665545,1.5943071291262156,2.191153880558547,0.020573657269425928,6.18748891977608
PL,1912,2.3792760413190663,1.5984248608933078,2.191954299186325,0.021359357530647265,6.1911548031638075
PL,1913,2.3735809669038312,1.6034844447417582,2.1925889856198135,0.022141271453109606,6.191764812369486
PL,1914,2.3714916657021448,1.601091770367302,2.192878432328284,0.022866387979447997,6.188323854462035
PL,1915,2.3588106473087063,1.610070786008259,2.1940172531625173,0.02365119778088586,6.1865851727609975
PL,1916,2.358857638388041,1.610072198443375,2.1943101297168024,0.024338948142328294,6.187583216371479
PL,1917,2.3288916502725474,1.6175429265493617,2.1961142721133395,0.02503527284539775,6.167577816571236
PL,1918,2.3171591005092362,1.6125918979776377,2.196374488554286,0.025695912934923643,6.151864488482523
PL,1919,2.3136060603639823,1.6127970759376542,2.198164255495925,0.026271715605973352,6.150848896696996
PL,1920,2.3181809394250945,1.603462065903397,2.198999992046748,0.02692310517646686,6.147529665535912
PL,1921,2.320636272211463,1.6059855256566697,2.2006479713556963,0.027487577001183802,6.15472069494155
PL,1922,2.3131790495094426,1.6037251583234435,2.202216609007644,0.028087339206810277,6.1472007969611315
PL,1923,2.318056143555193,1.596435603515385,2.2030334731873102,0.02871117259016582,6.14622140579083
PL,1924,2.3120201177891273,1.5959163044700129,2.2029623874152957,0.02926276959051405,6.140181125909088
PL,1925,2.31857304485564,1.5863639971255439,2.2023491316802684,0.029811928029322247,6.137056536095324
PL,1926,2.3177022336243263,1.5799965474248099,2.201402882123133,0.03042459693363534,6.129449954050861
PL,1927,2.3224293183926603,1.569798162716868,2.1996712244614334,0.030939005478623,6.122891897310209
PL,1928,2.3223121591422644,1.577614038642089,2.20015316077273,0.03148673528548663,6.131598468287428
PL,1929,2.3153826116951834,1.5836559537597552,2.2011838914275494,0.03204781291007354,6.1322798811023045
PL,1930,2.283904591237199,1.5820979702758535,2.2006892981466484,0.03763262900609599,6.104306164325989
PL,1931,2.2412696017054268,1.5926061398526237,2.200650223430402,0.04304958283771378,6.07756542773954
PL,1932,2.1990706393435278,1.5945763690335908,2.20056300984369,0.04821189519182893,6.0424976047782994
PL,1933,2.1707848687732536,1.606439829787977,2.2013259825357765,0.05316559816144459,6.03175894694956
PL,1934,2.138319273410413,1.6047626344332886,2.201872094540506,0.05792962844396796,6.00282016380574
PL,1935,2.1122860273483934,1.6051900073283427,2.202055707462458,0.06247300195658168,5.982018198837986
PL,1936,2.0872297185991933,1.6077480887530906,2.2020822161095106,0.06693376364485287,5.964016437153801
PL,1937,2.0533775685543727,1.6056473760118448,2.202021761014053,0.07124022469682668,5.932227578373804
PL,1938,2.026295305191351,1.6038214537531559,2.2019334313862218,0.07526594520751599,5.907403847951423
PL,1939,1.9937692806959455,1.6088448226426761,2.2020232287548316,0.0792898134378365,5.883963319760606
PL,1940,1.96574216061832,1.617884829722805,2.2041881305183284,0.08303627886718308,5.87091264344515
PL,1941,1.9356349068370122,1.6241216795462634,2.2059181661348553,0.08668845666494158,5.852320804011098
PL,1942,1.9073565761102005,1.6298633062021677,2.2081590348531326,0.09018304189639519,5.835539123374569
PL,1943,1.8808453435586379,1.629095825804571,2.209170105645759,0.09355042485856976,5.812699392818298
PL,1944,1.8552658305721816,1.6351738951752552,2.2108870893694044,0.09681828281037998,5.798197271233942
PL,1945,1.8325131061567124,1.6277494659635432,2.2119280188848967,0.09998676297786002,5.772095285220762
PL,1946,1.8066767072306977,1.6233799193637035,2.2127466851538635,0.10301194213342231,5.745781884881653
PL,1947,1.7752660191843732,1.6295344184433922,2.2152297377839636,0.1060171930147427,5.726123594963768
PL,1948,1.7583711831584175,1.621054846323592,2.216277368270543,0.10887346156199736,5.704618473330516
PL,1949,1.7455958152176043,1.61755552798379,2.2178545170946866,0.11153831665329228,5.69262474547643
PL,1950,1.723415928779108,1.6162799951426425,2.219830821665087,0.11384120478524995,5.6733831189499835
PL,1951,1.7061660116931898,1.6191632579021331,2.222328695476814,0.1159189055540679,5.663598068538496
PL,1952,1.6901922920811796,1.616190848536957,2.2252613290526093,0.11796682741071923,5.649679583216065
PL,1953,1.6787046241234742,1.6118126250565716,2.2271275945119804,0.12006064380649643,5.63771556276471
PL,1954,1.6517904067176004,1.61119595297046,2.229722691487765,0.12206974138489256,5.614719843766278
PL,1955,1.634335600690868,1.6028375476293297,2.23167397149887,0.12402542853829078,5.5929437890934075
PL,1956,1.6183180530162016,1.604697733406104,2.2337436070460215,0.12597324376696975,5.582747990479264
PL,1957,1.6093239888381197,1.593429935765022,2.2348508634746107,0.12782373647768186,5.565437130275368
PL,1958,1.5927147310371352,1.5858273878784845,2.235493047894574,0.12972822127407038,5.5437160047933
PL,1959,1.5841524144703512,1.587958909593549,2.236833743304681,0.13152692632576687,5.540461958340785
PL,1960,1.5782462648623266,1.5767004777739613,2.2379057847415726,0.13325159883166024,5.526034870341759
PL,1961,1.5798271130472659,1.5697177873473038,2.23845290719935,0.13512092361549327,5.523121690025676
PL,1962,1.5726060782058353,1.5712410136310082,2.240443042779347,0.13685610512170965,5.521100104374423
PL,1963,1.5572977913391997,1.5686061317510513,2.243072978309588,0.13848337593129303,5.507464575972719
PL,1964,1.5405195658189441,1.5667438045760547,2.2453651548318674,0.14024113074080358,5.492864523794019
PL,1965,1.5350778484482723,1.56124694408602,2.246934217869131,0.1420310409218983,5.485338316737986
PL,1966,1.5269343992127464,1.5514050934318504,2.247506462111103,0.14369299275919967,5.4695284011874605
PL,1967,1.5251368724132635,1.538569165609027,2.2476750736237516,0.14530332102702492,5.456658111272629
PL,1968,1.5216006856986992,1.5328354224907148,2.248609581873494,0.14709620190201814,5.450176083265487
PL,1969,1.5039438477776088,1.533452092800856,2.25110402764671,0.14893324383382575,5.437406256598031
PL,1970,1.4990442461280868,1.5234770612257265,2.2525846627456043,0.15000782736148996,5.42511671229858
PL,1971,1.4971738910025052,1.5220032227555547,2.253920189905708,0.15082868342505912,5.423954079799414
PL,1972,1.5027649969041523,1.5104496128139762,2.2539534740085503,0.152069835937506,5.419204991383918
PL,1973,1.5088213849833982,1.5101581575188492,2.2553860537826216,0.1531742880423624,5.427590406839302
PL,1974,1.520002291339288,1.5004032862425019,2.2568795916926883,0.15430396025684578,5.431551730049122
PL,1975,1.5133554580281983,1.4949144949254745,2.257827855017093,0.1556327168434931,5.421694441852345
PL,1976,1.5093288027510092,1.4928145312103154,2.260498192925462,0.1569856637675513,5.419652967654109
PL,1977,1.5134715063433082,1.4801684290858845,2.2611757515448496,0.15865006382999283,5.413410506179526
PL,1978,1.5206131571357973,1.4773156629853674,2.262562656514435,0.15987505346045708,5.420330727721565
PL,1979,1.5143607579891603,1.474321065755052,2.2642175750420512,0.16143730389291458,5.414264702102473
PL,1980,1.5159773699143175,1.4645360824142404,2.265205093347077,0.16269744221773358,5.408397460366495
PL,1981,1.5200807852590383,1.451815045149986,2.2649638667372556,0.16401881652245554,5.400881968458973
PL,1982,1.5158948852755172,1.4582277959217025,2.2666800159805742,0.1657606347146485,5.406554512331659
PL,1983,1.5187855629024494,1.4520355460578263,2.268078608197287,0.1672209865939311,5.4060802764446905
PL,1984,1.5253323676744115,1.4441218156583544,2.2692118067156817,0.1687591473038006,5.407362104471998
PL,1985,1.533263969087073,1.4370405180622163,2.269835402135951,0.17034396772997684,5.410483774013199
PL,1986,1.5440928286672044,1.4332165978577838,2.2708645679319774,0.1717083126765887,5.4198782838850255
PL,1987,1.5558067535030822,1.4293968955357885,2.272577555581521,0.17297539146609983,5.430772598746608
PL,1988,1.561127470855304,1.4215360561326096,2.2730212836147907,0.17435683505319338,5.430006633858228
PL,1989,1.566282434895692,1.4209286523298494,2.2745983459803263,0.17631002826142914,5.438108863931106
PL,1990,1.616316286157467,1.4070272887895632,2.2759824342378927,0.1727120085704993,5.472122151879008
PL,1991,1.6494819770205271,1.403491804937782,2.2774726265975307,0.17059656755336117,5.500978736138768
PL,1992,1.6596099946796556,1.4040687515379335,2.280303043981644,0.16835662806713075,5.5122541323549745
PL,1993,1.68699214161901,1.3882084757876239,2.282286887546747,0.16679173000270517,5.52420536375389
PL,1994,1.7008675360225993,1.3779684837087973,2.2836073365062477,0.16507879492542746,5.527413434694548
