Lon;Lat;Year;Total;geometry;area_km2
18,25;68,75;2020;0,0;POLYGON ((4650981.130359034 5060840.079443838, 4643871.523582642 5115618.277234267, 4663931.545920909 5118037.434604552, 4671483.4060728615 5063308.440082759, 4650981.130359034 5060840.079443838));1128,3803892675144
18,75;68,75;2020;0,0;POLYGON ((4671483.4060728615 5063308.440082759, 4663931.545920909 5118037.434604552, 4683969.8628099 5120602.485625511, 4691963.594817841 5065925.669834275, 4671483.4060728615 5063308.440082759));1128,380391226142
19,75;68,75;2020;0,014;POLYGON ((4712420.400930386 5068691.640033079, 4703985.201098142 5123313.302796256, 4723976.288261253 5126169.75130211, 4732852.529362133 5071606.214631321, 4712420.400930386 5068691.640033079));1128,3803955192493
20,25;69,25;2020;0,0;POLYGON ((4723976.288261253 5126169.75130211, 4715065.051905137 5180695.385405012, 4734588.321853964 5183635.753522739, 4743941.852437652 5129171.689009985, 4723976.288261253 5126169.75130211));1103,1027402454035
25,25;69,25;2020;0,0;POLYGON ((4922273.912962069 5162709.061219728, 4908964.020576671 5216484.521837108, 4928168.097546194 5220840.500408232, 4941914.466541312 5167156.459788795, 4922273.912962069 5162709.061219728));1103,102774358779
25,75;69,25;2020;5,347;POLYGON ((4941914.466541312 5167156.459788795, 4928168.097546194 5220840.500408232, 4947333.4233077355 5225336.94599233, 4961515.560771995 5171747.299518655, 4941914.466541312 5167156.459788795));1103,102778638812
28,75;69,25;2020;12,012;POLYGON ((5058885.045283813 5196844.792382475, 5042535.494870819 5249917.9389107805, 5061442.357044927 5255252.139808299, 5078222.942436798 5202291.181382371, 5058885.045283813 5196844.792382475));1103,1028079490475
29,25;69,25;2020;2,471;POLYGON ((5078222.942436798 5202291.181382371, 5061442.357044927 5255252.139808299, 5080301.827652136 5260725.056969648, 5097512.578146799 5207879.243058138, 5078222.942436798 5202291.181382371));1103,102813467004
9,25;48,25;2020;9,831;POLYGON ((4246337.443126276 2765662.6093297303, 4247071.615297824 2821230.248645827, 4284034.833446114 2820854.4883353733, 4283667.742094996 2765283.77606301, 4246337.443126276 2765662.6093297303));2064,422508118642
19,25;51,75;2020;3,597;POLYGON ((4944137.370356366 3192849.586698717, 4937286.854077416 3248123.3080801903, 4971306.18577674 3252472.6093560676, 4978535.835383547 3197239.7511371113, 4944137.370356366 3192849.586698717));1920,917456763349
2,25;42,25;2020;18,687;POLYGON ((3657200.274334724 2134828.063197029, 3662667.104924066 2189948.7739704275, 3703653.317117801 2185712.1090247855, 3698527.570389065 2130563.802357766, 3657200.274334724 2134828.063197029));2291,6690975602337
13,25;52,75;2020;7,413;POLYGON ((4524667.794431069 3269834.721014678, 4522356.855626844 3325432.930459189, 4555888.393696611 3326934.431542426, 4558584.293743946 3271350.8625906296, 4524667.794431069 3269834.721014678));1878,5253990122749
3,25;43,75;2020;9,235;POLYGON ((3754328.6034972942 2292161.9924588595, 3759202.025946616 2347399.492599518, 3799211.4197193477 2343782.517896885, 3794685.610304585 2288520.078949878, 3754328.6034972942 2292161.9924588595));2237,177585540964
26,75;68,25;2020;20,16;POLYGON ((5010140.606910629 5069360.65055073, 4995636.621768456 5122943.312618295, 5015587.711610799 5127919.916066078, 5030522.799067448 5074436.079171993, 5010140.606910629 5069360.65055073));1153,5664492823723
17,25;54,75;2020;2,532;POLYGON ((4773817.565810115 3510154.037446217, 4768320.342828328 3565564.8871690687, 4800142.180389718 3568777.279743743, 4806031.048783836 3513400.4119237186, 4773817.565810115 3510154.037446217));1791,9667790107985
19,25;49,75;2020;9,055;POLYGON ((4971180.4382647 2971781.904995307, 4964473.777034657 3027042.5934370635, 4999997.8736066865 3031552.8488492114, 5007075.798170798 2976331.35817514, 4971180.4382647 2971781.904995307));2003,865378331963
