Year;Lon;Lat;VegC;LitterC;SoilC;HarvSlowC;Total;Year.1;geometry;area_km2
1975;0;37,0;0,611;0,601;0,881;0,033;2,126;1975;POLYGON ((3375204.3397951005 1557326.9715102143, 3388593.1870017443 1666706.1634756338, 3476855.1981605524 1655107.6942168074, 3464738.793690202 1545604.8334632765, 3375204.3397951005 1557326.9715102143));9877,813298941677
1976;0;37,5;0,606;0,61;0,881;0,033;2,129;1976;POLYGON ((3381875.678939743 1612001.204681432, 3395356.6994219795 1721440.831280092, 3482975.992760914 1709905.548160255, 3470776.082293085 1600340.4503541146, 3381875.678939743 1612001.204681432));9813,585840526599
1977;0;38,0;0,606;0,608;0,882;0,033;2,129;1977;POLYGON ((3388593.1870017443 1666706.1634756338, 3402166.0522975815 1776204.1891333966, 3489138.3181577823 1764732.9929593562, 3476855.1981605524 1655107.6942168074, 3388593.1870017443 1666706.1634756338));9748,601564859639
1978;0;38,5;0,606;0,606;0,882;0,033;2,127;1978;POLYGON ((3395356.6994219795 1721440.831280092, 3409021.082369027 1830995.2157308094, 3495342.0269984524 1819589.0070604526, 3482975.992760914 1709905.548160255, 3395356.6994219795 1721440.831280092));9682,864811565902
1979;0;39,0;0,602;0,605;0,881;0,034;2,122;1979;POLYGON ((3402166.0522975815 1776204.1891333966, 3415921.6270076735 1885812.8874304378, 3501586.9725026824 1874472.5665875887, 3489138.3181577823 1764732.9929593562, 3402166.0522975815 1776204.1891333966));9616,379984268677
1980;0;39,5;0,607;0,605;0,881;0,034;2,127;1980;POLYGON ((3409021.082369027 1830995.2157308094, 3422867.5242037117 1940656.178260009, 3507873.008451861 1929382.6453493936, 3495342.0269984524 1819589.0070604526, 3409021.082369027 1830995.2157308094));9549,15155066788
1981;0;40,0;0,611;0,603;0,88;0,034;2,128;1981;POLYGON ((3415921.6270076735 1885812.8874304378, 3429858.612554571 1995524.0599244544, 3514199.989178569 1984318.2148467628, 3501586.9725026824 1874472.5665875887, 3415921.6270076735 1885812.8874304378));9481,184042606472
1982;0;40,5;0,608;0,604;0,88;0,034;2,127;1982;POLYGON ((3422867.5242037117 1940656.178260009, 3436894.731253744 2050415.5018141933, 3520567.7695565363 2039278.24428125, 3507873.008451861 1929382.6453493936, 3422867.5242037117 1940656.178260009));9412,48205613538
1983;0;41,0;0,61;0,603;0,88;0,035;2,128;1983;POLYGON ((3429858.612554571 1995524.0599244544, 3443975.72008005 2105329.4710141676, 3526976.2049909886 2094261.7005642143, 3514199.989178569 1984318.2148467628, 3429858.612554571 1995524.0599244544));9343,05025156214
1984;0;41,5;0,615;0,598;0,88;0,035;2,129;1984;POLYGON ((3436894.731253744 2050415.5018141933, 3451101.419387325 2160264.93231361, 3533425.1514093825 2149267.548326713, 3520567.7695565363 2039278.24428125, 3436894.731253744 2050415.5018141933));9272,89335349234
1985;0;42,0;0,617;0,598;0,88;0,035;2,13;1985;POLYGON ((3443975.72008005 2105329.4710141676, 3458271.6700945487 2215220.84821657, 3539914.4652525345 2204294.749930147, 3526976.2049909886 2094261.7005642143, 3443975.72008005 2105329.4710141676));9202,016150859537
1986;0;42,5;0,622;0,596;0,88;0,035;2,133;1986;POLYGON ((3451101.419387325 2160264.93231361, 3465486.3136763913 2270196.1789531885, 3546444.003466137 2259342.265477667, 3533425.1514093825 2149267.548326713, 3451101.419387325 2160264.93231361));9130,423496945366
